date,primary_alp,primary_lnc,primary_oth,tpp_alp,tpp_lnc,seats_alp,seats_lnc,seats_oth,seats_total,seat_pc_alp,seat_pc_lnc,seat_pc_oth,tpp_swing_lnc,tpp_swing_alp,seat_swing_lnp,seat_swing_alp,seat_swing_lnp_pc,seat_swing_alp_pc,tpp_margin,seat_margin,seat_margin_pc,seat_margin_pc_majors
1910-04-13,0.5,0.451,0.049,,,42.0,31.0,2.0,75.0,0.56,0.41333333299999997,0.026666667,,,,,,,,-11.0,-0.14666666666666667,-0.1506849315068493
1913-05-31,0.485,0.489,0.026000000000000002,,,37.0,38.0,0.0,75.0,0.493333333,0.5066666670000001,0.0,,,7.0,-5.0,0.093333333,-0.066666667,,1.0,0.013333333333333334,0.013333333333333334
1914-09-05,0.509,0.47200000000000003,0.019,,,42.0,32.0,1.0,75.0,0.56,0.4266666670000001,0.013333333000000001,,,-6.0,5.0,-0.08,0.066666667,,-10.0,-0.13333333333333333,-0.13513513513513514
1917-05-05,0.439,0.542,0.019,,,22.0,53.0,0.0,75.0,0.29333333300000003,0.706666667,0.0,,,21.0,-20.0,0.28,-0.26666666699999997,,31.0,0.4133333333333333,0.4133333333333333
1919-12-13,0.425,0.5429999999999999,0.032,0.45899999999999996,0.541,26.0,37.0,12.0,75.0,0.333333333,0.5066666670000001,0.026666667,,,-15.0,3.0,-0.2,0.04,0.08200000000000007,11.0,0.14666666666666667,0.1746031746031746
1922-12-16,0.423,0.478,0.099,0.488,0.512,29.0,40.0,6.0,75.0,0.386666667,0.533333333,0.08,-0.028999999999999998,0.028999999999999998,2.0,4.0,0.026666667,0.053333333,0.024000000000000014,11.0,0.14666666666666667,0.15942028985507245
1925-11-14,0.45,0.532,0.018000000000000002,0.462,0.5379999999999999,23.0,50.0,2.0,75.0,0.306666667,0.666666667,0.026666667,0.026000000000000002,-0.026000000000000002,10.0,-6.0,0.133333333,-0.08,0.0759999999999999,27.0,0.36,0.3698630136986301
1928-11-17,0.446,0.496,0.057999999999999996,0.484,0.516,31.0,42.0,2.0,75.0,0.41333333299999997,0.56,0.026666667,-0.022000000000000002,0.022000000000000002,-8.0,8.0,-0.10666666699999999,0.10666666699999999,0.03200000000000003,11.0,0.14666666666666667,0.1506849315068493
1929-10-12,0.488,0.442,0.07,0.5670000000000001,0.433,46.0,24.0,5.0,75.0,0.6133333329999999,0.32,0.066666667,-0.083,0.083,-18.0,15.0,-0.24,0.2,-0.13400000000000006,-22.0,-0.2933333333333333,-0.3142857142857143
1931-12-19,0.271,0.484,0.245,0.415,0.585,14.0,50.0,11.0,75.0,0.18666666699999998,0.666666667,0.146666667,0.152,-0.152,26.0,-32.0,0.34666666700000004,-0.4266666670000001,0.16999999999999998,36.0,0.48,0.5625
1934-09-15,0.268,0.456,0.276,0.465,0.535,18.0,42.0,14.0,74.0,0.243243243,0.567567568,0.18918918899999998,-0.05,0.05,-8.0,4.0,-0.09909909900000001,0.056576577,0.07,24.0,0.32432432432432434,0.4
1937-10-23,0.4320000000000001,0.493,0.075,0.494,0.506,29.0,43.0,2.0,74.0,0.391891892,0.581081081,0.027027027000000002,-0.028999999999999998,0.028999999999999998,1.0,11.0,0.013513513999999999,0.148648649,0.012000000000000007,14.0,0.1891891891891892,0.19444444444444445
