,Unnamed: 0,start_date,end_date,firm,tpp_alp,tpp_lnc,tpp_margin,next_election,days_to_next,bias,std
0,72,2019-03-07,2019-03-10,newspoll,0.54,0.46,-0.08000000000000003,2019-05-18,69,-0.030857142857142878,0.046358848746952896
1,73,2019-03-06,2019-03-11,essential,0.53,0.47,-0.06000000000000005,2019-05-18,68,-0.03285714285714287,0.014507797574966065
2,74,2019-03-21,2019-03-25,essential,0.52,0.48,-0.040000000000000036,2019-05-18,54,-0.04714285714285715,0.022445701677816263
3,75,2019-03-25,2019-03-28,galaxy,0.53,0.47,-0.06000000000000005,2019-05-18,51,-0.029666666666666657,0.03600925806881707
4,76,2019-04-03,2019-04-06,ipsos,0.53,0.47,-0.06000000000000005,2019-05-18,42,-0.008000000000000007,0.017888543819998333
5,77,2019-04-04,2019-04-07,essential,0.52,0.48,-0.040000000000000036,2019-05-18,41,-0.046250000000000006,0.03335416016031584
6,78,2019-04-04,2019-04-07,newspoll,0.52,0.48,-0.040000000000000036,2019-05-18,41,-0.038800000000000015,0.06380665238741871
7,79,2019-04-06,2019-04-07,morgan,0.525,0.475,-0.05000000000000005,2019-05-18,41,-0.08405263157894738,0.040027037645697185
8,80,2019-04-11,2019-04-14,newspoll,0.52,0.48,-0.040000000000000036,2019-05-18,34,-0.018222222222222237,0.06356428478834317
9,81,2019-04-20,2019-04-21,morgan,0.51,0.49,-0.02000000000000001,2019-05-18,27,-0.042166666666666665,0.09515548679223215
10,82,2019-04-23,2019-04-25,galaxy,0.52,0.48,-0.040000000000000036,2019-05-18,23,-0.015999999999999976,0.021316660151158764
11,83,2019-04-26,2019-04-28,newspoll,0.51,0.49,-0.02000000000000001,2019-05-18,20,-0.004000000000000009,0.05206589231788069
12,84,2019-04-24,2019-04-29,essential,0.51,0.49,-0.02000000000000001,2019-05-18,19,-0.057500000000000016,0.02549509756796392
13,85,2019-05-01,2019-05-04,ipsos,0.52,0.48,-0.040000000000000036,2019-05-18,14,-0.008000000000000007,0.017888543819998333
14,86,2019-05-04,2019-05-05,morgan,0.51,0.49,-0.02000000000000001,2019-05-18,13,-0.07799999999999999,0.039979994997498415
15,87,2019-05-02,2019-05-05,newspoll,0.51,0.49,-0.02000000000000001,2019-05-18,13,-0.015555555555555564,0.04515282690793324
16,88,2019-05-02,2019-05-06,essential,0.52,0.48,-0.040000000000000036,2019-05-18,12,-0.04142857142857144,0.02311462122306386
17,89,2019-05-09,2019-05-11,newspoll,0.51,0.49,-0.02000000000000001,2019-05-18,7,-0.00555555555555556,0.024673422498262747
18,90,2019-05-10,2019-05-12,morgan,0.52,0.48,-0.040000000000000036,2019-05-18,6,-0.058857142857142865,0.03288073687043613
19,91,2019-05-10,2019-05-14,essential,0.515,0.485,-0.030000000000000027,2019-05-18,4,-0.02033333333333333,0.012290918056299395
20,92,2019-05-12,2019-05-15,ipsos,0.51,0.49,-0.02000000000000001,2019-05-18,3,-0.008000000000000007,0.017888543819998333
21,93,2019-05-16,2019-05-17,newspoll,0.515,0.485,-0.030000000000000027,2019-05-18,1,0.000588235294117641,0.022178420884751405
